gene_id,logFC
AT1G01010,0.026867304206594014
AT1G01020,0.14780117318630928
AT1G01030,1.3264977054947626
AT1G01040,0.009756448425342814
AT1G01046.1,-0.050349146594047864
AT1G01050,-0.10706950340280307
AT1G01060,-0.39139358544763186
AT1G01070,-0.3960582914566733
AT1G01080,-0.2671339505083729
AT1G01090,-0.2566250624874839
AT1G01100,-0.21194669642410802
AT1G01110,0.001433115502406372
AT1G01120,0.11053639204757307
AT1G01130,-0.01977466688578428
AT1G01140,0.33489251734377545
AT1G01150,-0.27074050210533324
AT1G01160,0.0638830808076661
AT1G01170,-0.3477907294659219
AT1G01180,0.2259455532386233
AT1G01190,0.5125774405455783
AT1G01200,-0.807083100337337
AT1G01210,-0.43779735647592427
AT1G01220,-0.2351197651161019
AT1G01225,0.013980781374739695
AT1G01230,0.09744378729145278
AT1G01240,0.1910097359804472
AT1G01260,0.18072887139968535
AT1G01290,-0.248387191173074
AT1G01300,-0.3394168722502464
AT1G01310,-0.5079300226479633
AT1G01320,-0.25444721728034136
AT1G01340,0.37950007092828947
AT1G01350,-0.02250131552198606
AT1G01360,0.3314482121465669
AT1G01370,0.20688279766904066
AT1G01380,-0.08302285845315815
AT1G01390,-0.13883083226714263
AT1G01420,-0.40998978332345015
AT1G01430,-0.2832646397287197
AT1G01440,0.20041428574431427
AT1G01448.1,0.19805076000574745
AT1G01450,0.16549830277691832
AT1G01453,1.0169880420711563
AT1G01470,0.03246298822326621
AT1G01480,0.24312557143835975
AT1G01490,-0.2241222011050516
AT1G01500,-0.20740242080959767
AT1G01510,-0.08668632291300868
AT1G01520,-1.0873631011743128
AT1G01540,-0.04840574824170423
AT1G01550,0.24964743679322887
AT1G01560,0.631939770589591
AT1G01570,-0.057110974795474174
AT1G01580,-1.005004735892537
AT1G01600,-0.32314009781138187
AT1G01610,-0.09350287658806163
AT1G01620,0.20716063783202462
AT1G01630,0.06680697457455836
AT1G01640,0.10710360714352317
AT1G01650,0.11078478366388778
AT1G01660,0.3597374932965097
AT1G01670,0.14936312673093796
AT1G01680,0.21492155491629766
AT1G01690,-0.12261900682528658
AT1G01695,0.7385777635251543
AT1G01700,-0.2302713910726278
AT1G01710,-0.13616758249017752
AT1G01720,0.32642025348818
AT1G01725,0.2704722950979964
AT1G01730,-0.11237806933315408
AT1G01740,0.12924327053973003
AT1G01750,0.39883178452877455
AT1G01760,-0.09814059933477676
AT1G01770,0.0532842381902415
AT1G01780,0.14467252009587844
AT1G01790,-0.11392808228493097
AT1G01800,-0.05318106594872279
AT1G01810,-0.3705709153613957
AT1G01820,-0.04648923388774128
AT1G01830,-0.041845090523224104
AT1G01840,-0.29733040815248446
AT1G01860,-0.055297814126907714
AT1G01880,0.48338148280148424
AT1G01900,-0.17109025342946074
AT1G01910,0.04302261781191927
AT1G01920,-0.05634231921240379
AT1G01930,-0.01436424637084821
AT1G01940,-0.09287145983046743
AT1G01950,0.0350601109415222
AT1G01960,-0.0711270748003566
AT1G01970,-0.15423880815899346
AT1G01980,-2.13283293214154
AT1G01990,0.0591996232138246
AT1G02000,0.2859386731339017
AT1G02010,-0.2573846708222754
AT1G02020,0.15147138315889921
AT1G02030,-0.3622238143982851
AT1G02040,-0.07904763627592032
AT1G02050,-0.11568659290216161
AT1G02060,-0.3991383399017038
AT1G02070,0.2592863367982077
AT1G02080,0.07403846251061212
AT1G02090,-0.07970638939832687
AT1G02100,0.05775077305728242
AT1G02110,-0.01785718157218252
AT1G02120,-0.01447602091564789
AT1G02130,-0.00636370254131003
AT1G02140,-0.0762257556004803
AT1G02145,-0.10127867712207982
AT1G02150,-0.24477485985387867
AT1G02160,0.11643597185400777
AT1G02170,0.24193341124500783
AT1G02180,0.10353151375345077
AT1G02205,-0.35421560851106937
AT1G02220,0.08418108932942397
AT1G02230,0.04387317155293956
AT1G02250,-0.3742581946721776
AT1G02260,0.06604918675192598
AT1G02270,-0.07519853818220497
AT1G02280,-0.1886560088838809
AT1G02290,-0.16252953444388818
AT1G02300,-0.1873689656338773
AT1G02305,0.08220688042950516
AT1G02310,0.7852543179733307
AT1G02330,-0.15209858883157318
AT1G02335,0.14357900662787512
AT1G02340,-0.024753401151154344
AT1G02350,-0.5162131679924477
AT1G02360,0.1170931683237051
AT1G02370,-0.3392287184216739
AT1G02380,0.891958706914954
AT1G02390,0.4191157565716341
AT1G02400,0.3649916241906863
AT1G02410,0.02349336850428876
AT1G02420,-0.27375330892356164
AT1G02430,0.06832423381747536
AT1G02440,0.12088098870070584
AT1G02450,0.5293037031603577
AT1G02460,0.2280565933113448
AT1G02470,0.06649629387476821
AT1G02475,-0.4414044905448662
AT1G02500,-0.050832611770366784
AT1G02520,0.11467895569183703
AT1G02530,-0.034127470293620565
AT1G02560,0.00879318313234514
AT1G02570,0.8271465417192976
AT1G02575,0.3914118748174293
AT1G02580,-0.08593118289771666
AT1G02610,0.3845066987347125
AT1G02640,0.48537016504307257
AT1G02650,0.0789246906259571
AT1G02660,0.6456387520295592
AT1G02670,-0.3347940541075086
AT1G02680,0.15980673720507554
AT1G02690,-0.05393593072411215
AT1G02700,-0.903985777434371
AT1G02710,-0.6376382430062241
AT1G02720,0.2511769032918676
AT1G02730,-0.2851846960814623
AT1G02740,0.007219970930344195
AT1G02750,0.1735444621895264
AT1G02770,-0.2819154236838744
AT1G02780,-0.16425436536712598
AT1G02800,-1.3753175301063494
AT1G02810,0.3256276919234957
AT1G02813,-2.167521547544023
